protein_id,TPR
q92973,0.9622641509433962
q02078,1.0
o14352,0.12903225806451613
p41814,0.5103448275862069
q8k4j6,0.8333333333333334
q8bh64,0.3333333333333333
q8wum0,0.48
q12834,0.8037383177570093
q13542,1.0
p28324,1.0
o60741,0.9139784946236559
p38968,1.0
p21734,0.43478260869565216
q8iw19,0.7619047619047619
o75506,0.8888888888888888
o75807,1.0
o60566,1.0
p05107,0.7142857142857143
q96gc6,0.6995884773662552
p01137,0.6818181818181818
q9c0c7,1.0
o65934,0.9448818897637795
q9ubu9,0.9565217391304348
q9nr28,0.26666666666666666
p22626,0.9144736842105263
p29375,0.9096045197740112
p52564,0.6046511627906976
p35222,1.0
p9wip5,0.0625
q14493,1.0
p36578,0.6818181818181818
q9y3e7,0.8125
p38919,0.6666666666666666
o75683,0.6098901098901099
q02821,0.6190476190476191
p21374,0.5142857142857142
o08807,0.0
p05106,0.5192307692307693
p0abs5,0.16666666666666666
q24570,1.0
o76074,0.6585365853658537
p29274,0.75
q96sd1,1.0
o14558,0.9642857142857143
o43561,0.9951456310679612
p53330,1.0
o75928,0.8548387096774194
p24385,0.75
p9wpi9,0.30864197530864196
p33763,0.13333333333333333
p22303,0.9166666666666666
o54918,1.0
p9wkx3,1.0
p02730,1.0
q06609,0.04838709677419355
p51449,0.275
p49757,0.6363636363636364
q9nry2,1.0
q9slj2,0.9897959183673469
q0jrz9,0.125
o43313,1.0
q9ere7,0.33783783783783783
p08033,0.5223880597014925
p25644,1.0
q99958,0.0
q9ujx3,0.5217391304347826
q03071,0.0
p16050,0.14184397163120568
p53999,1.0
q02199,1.0
p28229,0.7864077669902912
q96ri1,0.375
p0a903,0.6438356164383562
p55957,0.7083333333333334
q9y7m4,0.8571428571428571
p15927,0.30434782608695654
p09038,0.7727272727272727
q6phw0,0.7142857142857143
q9jk66,1.0
p60761,0.5882352941176471
p01042,0.9893617021276596
q15910,0.935672514619883
q38825,1.0
p52272,0.9666666666666667
q07912,1.0
q9bs26,0.35555555555555557
q5rjl0,0.950354609929078
p39007,0.2830188679245283
q09514,0.22727272727272727
p02808,1.0
p04183,0.6086956521739131
p53865,0.6
p19634,1.0
q8nhz8,1.0
q8gyn5,0.9478672985781991
q99lj8,0.40540540540540543
q96273,0.4742268041237113
p31016,0.0
p50553,0.4576271186440678
p06899,0.9736842105263158
q9ujx2,0.6307692307692307
q9jm54,1.0
o13916,1.0
p08510,0.6993006993006993
q07930,0.6901408450704225
q9nrj3,0.6018518518518519
q6vmq6,1.0
p04271,0.0
p05386,1.0
p43403,0.7580645161290323
p48788,0.8953488372093024
q9ukt4,0.8016997167138811
o14974,0.975
q9hcj0,1.0
p49790,1.0
