protein_id,TPR
p45985,0.9651162790697675
p35236,1.0
q27934,1.0
p38862,1.0
p27682,0.7580645161290323
p30281,0.7631578947368421
q9umr2,1.0
q13501,0.9347826086956522
p12956,0.2597402597402597
q9h816,0.2727272727272727
q9y6h6,0.75
p36894,0.6458333333333334
p0adv9,0.2571428571428571
q9buh6,0.9193548387096774
p10071,1.0
q5vzk9,1.0
q96270,0.11834319526627218
q9vma3,0.8636363636363636
q92793,0.9624796084828712
p76407,1.0
p06401,0.9712351945854484
p30307,1.0
p84634,0.6111111111111112
q13469,1.0
o14745,0.7008547008547008
q9han9,0.7368421052631579
p05556,0.13333333333333333
p42226,1.0
p11912,0.8360655737704918
p04386,1.0
p34087,0.0
q16576,0.8947368421052632
p06400,0.8623188405797102
p04052,1.0
p22059,1.0
o95149,0.8024691358024691
q9ukt5,0.36666666666666664
p32628,0.8324873096446701
p70604,0.0
q9epu7,0.32954545454545453
q07666,1.0
q13148,0.9530201342281879
p68688,0.0
q9z1x4,0.7916666666666666
q99075,0.9117647058823529
p33411,1.0
o00571,0.8263473053892215
p84051,0.7272727272727273
q8wyp5,0.988791032826261
q9hd26,1.0
p05067,1.0
p52926,0.7706422018348624
p06748,0.3681592039800995
q9y6k9,1.0
o61667,0.14285714285714285
p32337,1.0
p08263,0.0
q15691,0.95
o14519,0.9833333333333333
q15796,0.875
p16333,1.0
p32684,1.0
o14140,0.16666666666666666
q9ji51,0.11538461538461539
q03834,0.8881578947368421
p09429,0.7674418604651163
o95718,0.7307692307692307
p46669,0.0
o00429,0.9814814814814815
p98177,0.8947368421052632
q9vzu1,1.0
p68363,0.25
p41208,1.0
q9upr3,0.5217391304347826
q6fi81,0.5
q13568,0.0
p04626,0.9776119402985075
p13010,1.0
q9h1d0,0.4507042253521127
p55036,0.75
q86wv6,1.0
q925j9,1.0
p70447,1.0
q96ay2,0.0
p25638,0.95
p0c077,0.0
p84040,0.024691358024691357
q71ui9,0.0
q8r316,0.0
p49768,0.8701298701298701
q03518,0.45535714285714285
o74774,0.5355450236966824
p77522,0.8272727272727273
o94316,1.0
q9y239,0.0
q9n4u5,0.6065573770491803
p38293,0.4189189189189189
p37330,0.0
o14713,0.9090909090909091
p53632,0.870722433460076
q9nqa5,0.5755395683453237
p52799,1.0
q07009,0.3037974683544304
o94907,0.7272727272727273
q8wxe9,1.0
p53136,0.4666666666666667
q80vp1,0.8715083798882681
p01130,0.03773584905660377
p19880,0.28440366972477066
p08592,1.0
q07955,0.9552238805970149
p07305,1.0
o60828,0.6553398058252428
q9ujx4,0.496
p11021,0.9333333333333333
p20823,0.8421052631578947
p27321,0.875
q9h2y7,0.9922178988326849
q9jk11,1.0
o43312,1.0
q96b02,0.0
p0agb6,0.0
q06208,1.0
q02554,0.3888888888888889
q96pu5,0.7530864197530864
q02413,1.0
p36100,0.7152777777777778
p48439,0.0
o54928,0.5428571428571428
p83731,0.3142857142857143
p70444,0.9024390243902439
q63450,0.717948717948718
p49427,0.6521739130434783
p40161,0.84
p0ae98,0.0
p42768,0.6029411764705882
p02655,0.15384615384615385
o60829,0.7058823529411765
o75554,0.9405940594059405
p49687,1.0
p40259,0.9387755102040817
o60563,1.0
o75533,0.7445887445887446
q8ry59,0.90625
p32639,0.9655172413793104
p62877,0.39285714285714285
p10721,1.0
p20591,0.35294117647058826
q14457,0.6066666666666667
q86ux7,0.3132530120481928
q05471,1.0
d0pv95,1.0
p29539,1.0
q12483,0.5
q16236,0.0
o15234,0.7619047619047619
p36161,1.0
p02283,0.8846153846153846
q05776,0.9
q9nr61,0.9849624060150376
q8wup2,1.0
o94444,0.9090909090909091
p62805,0.7083333333333334
p36152,0.7043478260869566
q01094,0.0392156862745098
o95644,0.15151515151515152
q9qwh1,0.9746835443037974
q8t9b6,0.8356164383561644
p50750,0.0
q92913,0.96
q12778,0.88
p14921,0.9767441860465116
q92945,0.15730337078651685
q9ujx6,0.5697674418604651
p28235,0.7722772277227723
q8n5y2,0.6666666666666666
p84022,0.7586206896551724
p69490,1.0
q68dk7,0.0
q07889,1.0
q96fi4,1.0
p55735,0.5
q09882,0.0
q9uqc2,0.7619047619047619
q96iz0,1.0
q12905,0.896551724137931
p47047,0.4603174603174603
q676u5,0.6538461538461539
p53905,0.7567567567567568
q8ig33,0.4507042253521127
q15637,0.46153846153846156
p14598,0.0
q13547,0.9339622641509434
p58753,1.0
p27472,0.7692307692307693
c6ksx0,0.2916666666666667
p13693,0.75
q53gg5,0.9820359281437125
q99ml1,0.0
p06239,0.0
p04908,0.3
p47710,0.5513513513513514
q99741,1.0
q2taz0,0.8333333333333334
q8wug5,0.8095238095238095
o60885,0.0
p13861,0.9361702127659575
q92540,0.5151515151515151
q15726,0.8907563025210085
q24139,0.9090909090909091
p20239,0.0
q9ums4,0.0
